country,year,total,urban,rural,urban_water_improved,urban_water_piped,urban_water_otherimproved,urban_water_unimproved,rural_water_improved,rural_water_piped,rural_water_otherimproved,rural_water_unimproved,total_water_improved,total_water_piped,total_water_otherimproved,total_water_unimproved,urban_sanitation_improved,urban_sanitation_shared,urban_sanitation_opendefecation,urban_sanitation_otherunimproved,urban_sanitation_unimproved,rural_sanitation_improved,rural_sanitation_shared,rural_sanitation_opendefecation,rural_sanitation_otherunimproved,rural_sanitation_unimproved,total_sanitation_improved,total_sanitation_shared,total_sanitation_opendefecation,total_sanitation_otherunimproved,total_sanitation_unimproved
"Netherlands","2000","15914.75","12222.37","3692.38","12222.00","12222.00","0.00","0.00","3692.00","3692.00","0.00","0.00","15914.00","15914.00","0.00","0.00","12222.37","","0.00","0.00","0.00","3692.38","","0.00","0.00","0.00","15914.00","","0.00","0.00","0.75"
"Netherlands","2005","16316.33","13085.69","3230.63","13086.00","13086.00","0.00","0.00","3231.00","3231.00","0.00","0.00","16317.00","16317.00","0.00","0.00","13085.69","","0.00","0.00","0.00","3230.63","","0.00","0.00","0.00","16317.00","","0.00","0.00","-0.67"
"Netherlands","2008","16527.63","13532.33","2995.30","13532.00","13532.00","0.00","0.00","2995.00","2995.00","0.00","0.00","16527.00","16527.00","0.00","0.00","13532.33","","0.00","0.00","0.00","2995.30","","0.00","0.00","0.00","16527.00","","0.00","0.00","0.63"
"Norway","1990","4241.49","3052.00","1189.48","3052.00","3052.00","0.00","0.00","1189.00","1189.00","0.00","0.00","4241.00","4241.00","0.00","0.00","3052.00","","0.00","0.00","0.00","1189.48","","0.00","0.00","0.00","4241.00","","0.00","0.00","0.49"
"Norway","1995","4359.18","3215.51","1143.68","3216.00","3216.00","0.00","0.00","1144.00","1144.00","0.00","0.00","4360.00","4360.00","0.00","0.00","3215.51","","0.00","0.00","0.00","1143.68","","0.00","0.00","0.00","4360.00","","0.00","0.00","-0.82"
"Norway","2000","4483.96","3411.44","1072.52","3411.00","3411.00","0.00","0.00","1073.00","1073.00","0.00","0.00","4484.00","4484.00","0.00","0.00","3411.44","","0.00","0.00","0.00","1072.52","","0.00","0.00","0.00","4484.00","","0.00","0.00","-0.04"
"Norway","2005","4635.48","3583.46","1052.02","3583.00","3583.00","0.00","0.00","1052.00","1052.00","0.00","0.00","4635.00","4635.00","0.00","0.00","3583.46","","0.00","0.00","0.00","1052.02","","0.00","0.00","0.00","4635.00","","0.00","0.00","0.48"
"Norway","2008","4766.58","3692.24","1074.34","3692.00","3692.00","0.00","0.00","1074.00","1074.00","0.00","0.00","4766.00","4766.00","0.00","0.00","3692.24","","0.00","0.00","0.00","1074.34","","0.00","0.00","0.00","4766.00","","0.00","0.00","0.58"
"Nepal","1990","19104.65","1691.53","17413.12","1624.00","727.00","897.00","68.00","12886.00","871.00","12015.00","4527.00","14510.00","1598.00","12912.00","4595.00","693.53","405.97","507.46","84.58","998.00","1393.05","348.26","14801.16","870.66","16020.07","2087.00","754.00","15308.00","956.00","17017.65"
"Nepal","1995","21624.48","2355.99","19268.50","2238.00","1060.00","1178.00","118.00","15029.00","1349.00","13680.00","4239.00","17267.00","2409.00","14858.00","4357.00","1036.63","612.56","612.56","94.24","1319.36","2504.90","578.05","15029.43","1156.11","16763.60","3542.00","1191.00","15642.00","1250.00","18082.48"
"Nepal","2000","24431.76","3281.43","21150.33","3085.00","1575.00","1510.00","196.00","17132.00","1692.00","15440.00","4018.00","20217.00","3267.00","16950.00","4214.00","1542.27","885.99","721.91","131.26","1739.16","4018.56","1057.52","15016.73","1057.52","17131.77","5561.00","1944.00","15739.00","1189.00","18870.76"
"Nepal","2005","27221.54","4289.57","22931.97","3989.00","2145.00","1844.00","301.00","19492.00","2064.00","17428.00","3440.00","23481.00","4209.00","19272.00","3741.00","2144.79","1243.98","772.12","128.69","2144.78","5503.67","1375.92","14676.46","1375.92","17428.30","7649.00","2620.00","15448.00","1505.00","19572.54"
"Nepal","2008","28809.53","4956.39","23853.14","4609.00","2577.00","2032.00","347.00","20752.00","2385.00","18367.00","3101.00","25361.00","4962.00","20399.00","3448.00","2527.76","1486.92","743.46","198.26","2428.63","6440.35","1669.72","14311.88","1431.19","17412.79","8968.00","3157.00","15055.00","1629.00","19841.53"
"Nauru","1990","9.15","9.15","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nauru","1995","9.97","9.97","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nauru","2000","10.04","10.04","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nauru","2005","10.11","10.11","0.00","9.00","","9.00","1.00","","","","","","","","","5.06","2.33","0.10","2.63","5.05","","","","","","","","","",""
